workingday,hour,total,total,total,total
,,max,min,mean,sum
Yes,17,976,26,525.2905811623247,262120
Yes,18,977,26,492.2269076305221,245129
Yes,8,839,31,477.00604838709677,236595
Yes,19,743,18,348.4016064257028,173504
Yes,16,634,13,293.12224448897797,146268
Yes,7,596,18,290.61290322580646,144144
Yes,20,567,23,249.71887550200802,124360
Yes,9,426,23,241.51814516129033,119793
Yes,15,601,13,201.33132530120483,100263
Yes,12,471,3,200.8209255533199,99808
Yes,13,428,11,198.429718875502,98818
Yes,21,398,6,186.2871485943775,92771
Yes,14,651,12,183.5722891566265,91419
Yes,11,361,10,158.2298387096774,78482
Yes,22,321,11,138.38955823293173,68918
Yes,10,275,8,135.36693548387098,67142
Yes,6,213,7,102.5,50840
Yes,23,256,9,88.70883534136546,44177
Yes,0,283,2,36.78629032258065,18246
Yes,5,66,1,24.913131313131313,12332
Yes,1,114,1,16.55263157894737,8177
Yes,2,74,1,8.683778234086242,4229
Yes,4,17,1,5.4297872340425535,2552
Yes,3,36,1,4.9425531914893615,2323
No,13,760,30,372.73160173160176,86101
No,12,776,32,366.2597402597403,84606
No,14,750,23,364.64502164502164,84233
No,15,750,7,358.8138528138528,82886
No,16,783,11,352.72727272727275,81480
No,17,731,15,323.54978354978357,74740
No,11,663,27,315.31601731601734,72838
No,18,676,23,281.05652173913046,64643
No,10,539,12,255.9090909090909,59115
No,19,554,11,231.67391304347825,53285
No,20,551,11,174.7391304347826,40190
No,9,397,14,171.62337662337663,39645
No,21,584,7,142.0608695652174,32674
No,22,502,9,116.06086956521739,26694
No,8,597,5,105.65367965367966,24406
No,0,249,6,90.8,20884
No,23,239,2,85.9304347826087,19764
No,1,168,4,69.50869565217391,15987
No,2,132,2,53.171052631578945,12123
No,7,387,1,43.40692640692641,10027
No,3,79,2,25.77533039647577,5851
No,6,133,1,18.74235807860262,4292
No,5,55,1,8.68918918918919,1929
No,4,28,1,8.26431718061674,1876
